match_id,surface,tourney_date,stat_name,side,value
130,Hard,2024-01-15,secondServePointsAccuracy,Winner,0.6428571428571429
130,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.3846153846153846
130,Hard,2024-01-15,breakPointsSaved,Winner,0.07142857142857142
130,Hard,2024-01-15,breakPointsSaved,Loser,0.5384615384615384
131,Hard,2024-01-15,aces,Winner,0.7777777777777778
131,Hard,2024-01-15,aces,Loser,0.5769230769230769
131,Hard,2024-01-15,doubleFaults,Winner,0.037037037037037035
131,Hard,2024-01-15,doubleFaults,Loser,0.23076923076923078
131,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.074074074074074
131,Hard,2024-01-15,firstServePointsAccuracy,Loser,3.5
131,Hard,2024-01-15,secondServePointsAccuracy,Winner,0.9259259259259259
131,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.3076923076923077
131,Hard,2024-01-15,breakPointsSaved,Winner,0.14814814814814814
131,Hard,2024-01-15,breakPointsSaved,Loser,0.7307692307692307
132,Hard,2024-01-15,aces,Winner,0.85
132,Hard,2024-01-15,aces,Loser,0.2
132,Hard,2024-01-15,doubleFaults,Winner,0.25
132,Hard,2024-01-15,doubleFaults,Loser,0.2
132,Hard,2024-01-15,firstServePointsAccuracy,Winner,3.3
132,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.85
132,Hard,2024-01-15,secondServePointsAccuracy,Winner,1.45
132,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.3
132,Hard,2024-01-15,breakPointsSaved,Winner,0.3
132,Hard,2024-01-15,breakPointsSaved,Loser,0.4
133,Hard,2024-01-15,aces,Winner,0.4782608695652174
133,Hard,2024-01-15,aces,Loser,0.22727272727272727
133,Hard,2024-01-15,doubleFaults,Winner,0.13043478260869565
133,Hard,2024-01-15,doubleFaults,Loser,0.3181818181818182
133,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.869565217391304
133,Hard,2024-01-15,firstServePointsAccuracy,Loser,2.909090909090909
133,Hard,2024-01-15,secondServePointsAccuracy,Winner,0.9130434782608695
133,Hard,2024-01-15,secondServePointsAccuracy,Loser,1.3181818181818181
133,Hard,2024-01-15,breakPointsSaved,Winner,0.13043478260869565
133,Hard,2024-01-15,breakPointsSaved,Loser,0.5
134,Hard,2024-01-15,aces,Winner,0.9
134,Hard,2024-01-15,aces,Loser,0.15789473684210525
134,Hard,2024-01-15,doubleFaults,Winner,0.2
134,Hard,2024-01-15,doubleFaults,Loser,0.42105263157894735
134,Hard,2024-01-15,firstServePointsAccuracy,Winner,2.75
